																		
		Price Matrix for Scan-to-BIM																
																		
																		
	1	Residential Standard (Single Family)																
		Independent housing units designed for individual households, the predominant form in private, single-occupancy neighborhoods.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		20k-30k	0.466	0.673	0.834	0.969	0.075	0.125	0.138	0.163	0.100	0.125	0.138	0.150	0.038	0.040	0.045	0.058
		30k-40k	0.391	0.552	0.741	0.856	0.063	0.113	0.125	0.150	0.100	0.125	0.138	0.150	0.030	0.030	0.034	0.042
		40k-50k	0.320	0.460	0.620	0.720	0.050	0.100	0.113	0.138	0.088	0.113	0.125	0.138	0.030	0.030	0.034	0.042
		50k-75k	0.242	0.380	0.438	0.507	0.030	0.070	0.080	0.100	0.070	0.090	0.100	0.110	0.030	0.030	0.034	0.038
		75k-100k	0.173	0.276	0.366	0.424	0.030	0.060	0.070	0.090	0.070	0.090	0.100	0.110	0.030	0.030	0.030	0.038
		100k+	0.121	0.190	0.238	0.279	0.023	0.038	0.045	0.060	0.045	0.060	0.068	0.075	0.030	0.030	0.030	0.034
																x		
	10	Mechanical Room/Utility Room (MEPF)																
		A designated space housing mechanical, electrical, plumbing, and fire protection systems, centralizing utilities for efficient building operations.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.656	0.932	1.256	1.539	0.120	0.180	0.210	0.240	0.270	0.300	0.315	0.330	0.030	0.036	0.045	0.060
		5k-10k	0.567	0.819	1.077	1.323	0.105	0.165	0.180	0.210	0.270	0.300	0.315	0.330	0.030	0.036	0.045	0.060
		10k-20k	0.489	0.719	0.949	1.167	0.090	0.150	0.165	0.195	0.255	0.285	0.300	0.315	0.025	0.028	0.033	0.045
		20k-30k	0.414	0.622	0.782	0.917	0.063	0.113	0.125	0.150	0.213	0.238	0.250	0.263	0.025	0.028	0.033	0.045
		30k-40k	0.391	0.575	0.718	0.833	0.050	0.100	0.113	0.138	0.163	0.188	0.200	0.213	0.020	0.020	0.024	0.032
		40k-50k	0.320	0.480	0.600	0.700	0.038	0.088	0.100	0.125	0.150	0.175	0.188	0.200	0.020	0.020	0.024	0.032
		50k-75k	0.224	0.362	0.421	0.490	0.020	0.060	0.070	0.090	0.120	0.140	0.150	0.160	0.020	0.020	0.024	0.028
		75k-100k	0.155	0.259	0.348	0.407	0.020	0.050	0.060	0.080	0.120	0.140	0.150	0.160	0.020	0.020	0.020	0.028
		100k+	0.104	0.173	0.221	0.262	0.015	0.030	0.038	0.053	0.083	0.098	0.105	0.113	0.020	0.020	0.020	0.024
																		
	11	Warehouse/Storage/Fulfillment centre																
		A facility designed for the storage, organization, and distribution of goods, serving as a central hub for inventory management and order fulfillment.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.656	0.932	1.256	1.539	0.210	0.270	0.300	0.330	0.120	0.150	0.165	0.180	0.030	0.036	0.045	0.060
