"id","building_type_id","area_tier","discipline","lod","rate_per_sq_ft","updated_at"
"190","2","10k-20k","site","lod300","0.011","""2025-10-22T14:14:40.632Z"""
"191","2","10k-20k","site","lod350","0.013","""2025-10-22T14:14:40.632Z"""
"192","2","10k-20k","site","lod350plus","0.018","""2025-10-22T14:14:40.632Z"""
"193","2","20k-30k","architecture","lod200","0.100","""2025-10-22T14:14:40.632Z"""
"194","2","20k-30k","architecture","lod300","0.135","""2025-10-22T14:14:40.632Z"""
"195","2","20k-30k","architecture","lod350","0.176","""2025-10-22T14:14:40.632Z"""
"196","2","20k-30k","architecture","lod350plus","0.202","""2025-10-22T14:14:40.632Z"""
"197","2","20k-30k","structure","lod200","0.025","""2025-10-22T14:14:40.632Z"""
"198","2","20k-30k","structure","lod300","0.045","""2025-10-22T14:14:40.632Z"""
"199","2","20k-30k","structure","lod350","0.050","""2025-10-22T14:14:40.632Z"""
"200","2","20k-30k","structure","lod350plus","0.060","""2025-10-22T14:14:40.632Z"""
"201","2","20k-30k","mepf","lod200","0.020","""2025-10-22T14:14:40.718Z"""
"202","2","20k-30k","mepf","lod300","0.030","""2025-10-22T14:14:40.718Z"""
"203","2","20k-30k","mepf","lod350","0.035","""2025-10-22T14:14:40.718Z"""
"204","2","20k-30k","mepf","lod350plus","0.040","""2025-10-22T14:14:40.718Z"""
"205","2","20k-30k","site","lod200","0.010","""2025-10-22T14:14:40.718Z"""
"206","2","20k-30k","site","lod300","0.011","""2025-10-22T14:14:40.718Z"""
"207","2","20k-30k","site","lod350","0.013","""2025-10-22T14:14:40.718Z"""
"208","2","20k-30k","site","lod350plus","0.018","""2025-10-22T14:14:40.718Z"""
"209","2","30k-40k","architecture","lod200","0.095","""2025-10-22T14:14:40.718Z"""
"210","2","30k-40k","architecture","lod300","0.130","""2025-10-22T14:14:40.718Z"""
"211","2","30k-40k","architecture","lod350","0.171","""2025-10-22T14:14:40.718Z"""
"212","2","30k-40k","architecture","lod350plus","0.196","""2025-10-22T14:14:40.718Z"""
"213","2","30k-40k","structure","lod200","0.020","""2025-10-22T14:14:40.718Z"""
"214","2","30k-40k","structure","lod300","0.040","""2025-10-22T14:14:40.718Z"""
"215","2","30k-40k","structure","lod350","0.045","""2025-10-22T14:14:40.718Z"""
"216","2","30k-40k","structure","lod350plus","0.055","""2025-10-22T14:14:40.718Z"""
"217","2","30k-40k","mepf","lod200","0.020","""2025-10-22T14:14:40.718Z"""
"218","2","30k-40k","mepf","lod300","0.030","""2025-10-22T14:14:40.718Z"""
"219","2","30k-40k","mepf","lod350","0.035","""2025-10-22T14:14:40.718Z"""
"220","2","30k-40k","mepf","lod350plus","0.040","""2025-10-22T14:14:40.718Z"""
"221","2","30k-40k","site","lod200","0.010","""2025-10-22T14:14:40.718Z"""
"222","2","30k-40k","site","lod300","0.010","""2025-10-22T14:14:40.718Z"""
"223","2","30k-40k","site","lod350","0.012","""2025-10-22T14:14:40.718Z"""
"224","2","30k-40k","site","lod350plus","0.016","""2025-10-22T14:14:40.718Z"""
"225","2","40k-50k","architecture","lod200","0.090","""2025-10-22T14:14:40.718Z"""
"226","2","40k-50k","architecture","lod300","0.125","""2025-10-22T14:14:40.718Z"""
"227","2","40k-50k","architecture","lod350","0.165","""2025-10-22T14:14:40.718Z"""
"228","2","40k-50k","architecture","lod350plus","0.190","""2025-10-22T14:14:40.718Z"""
"229","2","40k-50k","structure","lod200","0.015","""2025-10-22T14:14:40.718Z"""
"230","2","40k-50k","structure","lod300","0.035","""2025-10-22T14:14:40.718Z"""
"231","2","40k-50k","structure","lod350","0.040","""2025-10-22T14:14:40.718Z"""
"232","2","40k-50k","structure","lod350plus","0.050","""2025-10-22T14:14:40.718Z"""
"233","2","40k-50k","mepf","lod200","0.015","""2025-10-22T14:14:40.718Z"""
"234","2","40k-50k","mepf","lod300","0.025","""2025-10-22T14:14:40.718Z"""
"235","2","40k-50k","mepf","lod350","0.030","""2025-10-22T14:14:40.718Z"""
"236","2","40k-50k","mepf","lod350plus","0.035","""2025-10-22T14:14:40.718Z"""
"237","2","40k-50k","site","lod200","0.010","""2025-10-22T14:14:40.718Z"""
"238","2","40k-50k","site","lod300","0.010","""2025-10-22T14:14:40.718Z"""
"239","2","40k-50k","site","lod350","0.012","""2025-10-22T14:14:40.718Z"""
"240","2","40k-50k","site","lod350plus","0.016","""2025-10-22T14:14:40.718Z"""
"241","2","50k-75k","architecture","lod200","0.080","""2025-10-22T14:14:40.718Z"""
"242","2","50k-75k","architecture","lod300","0.120","""2025-10-22T14:14:40.718Z"""
"243","2","50k-75k","architecture","lod350","0.137","""2025-10-22T14:14:40.718Z"""
"244","2","50k-75k","architecture","lod350plus","0.157","""2025-10-22T14:14:40.718Z"""
"245","2","50k-75k","structure","lod200","0.010","""2025-10-22T14:14:40.718Z"""
"246","2","50k-75k","structure","lod300","0.030","""2025-10-22T14:14:40.718Z"""
"247","2","50k-75k","structure","lod350","0.035","""2025-10-22T14:14:40.718Z"""
"248","2","50k-75k","structure","lod350plus","0.045","""2025-10-22T14:14:40.718Z"""
"249","2","50k-75k","mepf","lod200","0.015","""2025-10-22T14:14:40.718Z"""
"250","2","50k-75k","mepf","lod300","0.025","""2025-10-22T14:14:40.718Z"""
"251","2","50k-75k","mepf","lod350","0.030","""2025-10-22T14:14:40.718Z"""
"252","2","50k-75k","mepf","lod350plus","0.035","""2025-10-22T14:14:40.718Z"""
"253","2","50k-75k","site","lod200","0.010","""2025-10-22T14:14:40.718Z"""
"254","2","50k-75k","site","lod300","0.010","""2025-10-22T14:14:40.718Z"""
"255","2","50k-75k","site","lod350","0.012","""2025-10-22T14:14:40.718Z"""
"256","2","50k-75k","site","lod350plus","0.014","""2025-10-22T14:14:40.718Z"""
"257","2","75k-100k","architecture","lod200","0.060","""2025-10-22T14:14:40.718Z"""
"258","2","75k-100k","architecture","lod300","0.090","""2025-10-22T14:14:40.718Z"""
"259","2","75k-100k","architecture","lod350","0.116","""2025-10-22T14:14:40.718Z"""
"260","2","75k-100k","architecture","lod350plus","0.133","""2025-10-22T14:14:40.718Z"""
"261","2","75k-100k","structure","lod200","0.010","""2025-10-22T14:14:40.718Z"""
"262","2","75k-100k","structure","lod300","0.025","""2025-10-22T14:14:40.718Z"""
"263","2","75k-100k","structure","lod350","0.030","""2025-10-22T14:14:40.718Z"""
"264","2","75k-100k","structure","lod350plus","0.040","""2025-10-22T14:14:40.718Z"""
"265","2","75k-100k","mepf","lod200","0.015","""2025-10-22T14:14:40.718Z"""
"266","2","75k-100k","mepf","lod300","0.025","""2025-10-22T14:14:40.718Z"""
"267","2","75k-100k","mepf","lod350","0.030","""2025-10-22T14:14:40.718Z"""
"268","2","75k-100k","mepf","lod350plus","0.035","""2025-10-22T14:14:40.718Z"""
"269","2","75k-100k","site","lod200","0.010","""2025-10-22T14:14:40.718Z"""
"270","2","75k-100k","site","lod300","0.010","""2025-10-22T14:14:40.718Z"""
"271","2","75k-100k","site","lod350","0.010","""2025-10-22T14:14:40.718Z"""
"272","2","75k-100k","site","lod350plus","0.014","""2025-10-22T14:14:40.718Z"""
"273","2","100k+","architecture","lod200","0.045","""2025-10-22T14:14:40.718Z"""
"274","2","100k+","architecture","lod300","0.065","""2025-10-22T14:14:40.718Z"""
"275","2","100k+","architecture","lod350","0.079","""2025-10-22T14:14:40.718Z"""
"276","2","100k+","architecture","lod350plus","0.091","""2025-10-22T14:14:40.718Z"""
"277","2","100k+","structure","lod200","0.010","""2025-10-22T14:14:40.718Z"""
"278","2","100k+","structure","lod300","0.020","""2025-10-22T14:14:40.718Z"""
